PassengerId,Survived
893,0
896,0
898,0
900,0
904,0
906,0
907,0
910,0
911,0
914,0
916,0
918,0
924,0
925,0
928,0
929,0
935,0
936,0
940,0
941,0
944,0
945,0
951,0
955,0
957,0
958,0
961,0
962,0
964,0
966,0
969,0
971,0
978,0
979,0
980,0
982,0
984,0
988,0
990,0
992,0
996,0
1003,0
1004,0
1005,0
1006,0
1009,0
1011,0
1012,0
1014,0
1017,0
1019,0
1024,0
1030,0
1032,0
1033,0
1042,0
1045,0
1048,0
1049,0
1051,0
1052,0
1054,0
1057,0
1060,0
1061,0
1067,0
1068,0
1070,0
1071,0
1074,0
1076,0
1078,0
1080,0
1089,0
1091,0
1092,0
1095,0
1098,0
1100,0
1105,0
1106,0
1108,0
1110,0
1112,0
1114,0
1116,0
1117,0
1119,0
1123,0
1130,0
1131,0
1132,0
1133,0
1138,0
1140,0
1141,0
1142,0
1150,0
1154,0
1155,0
1160,0
1164,0
1165,0
1167,0
1172,0
1174,0
1175,0
1176,0
1183,0
1188,0
1196,0
1197,0
1201,0
1205,0
1206,0
1207,0
1216,0
1218,0
1222,0
1225,0
1235,0
1237,0
1239,0
1241,0
1242,0
1246,0
1248,0
1251,0
1253,0
1254,0
1256,0
1257,0
1259,0
1260,0
1263,0
1266,0
1267,0
1268,0
1274,0
1275,0
1277,0
1283,0
1287,0
1289,0
1292,0
1294,0
1300,0
1301,0
1302,0
1303,0
1304,0
1306,0
